Finding #,Finding Title,Primary Classification,Disposition Recommendation,Proposed Cluster,Related Findings,Confidence,Short Rationale
582,Spatial Ground Must Have Explicit Output Semantics,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Upward Handoff,"#174, #54, #586",HIGH,FRAMEWORK MIRROR: carries the handoff contract (#174) into Specification as explicit output semantics.
583,Inputs Must Be Validated at the Proper Layer,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Survey Dependency / Downward Contract,"#159, #160, #12",HIGH,RESTATEMENT. Parent #159. AUTHORITY: FSF owns validity rules.
584,Ground Outputs Must Be Validatable Independently of Higher Layers,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,"#52, #64, #178",HIGH,"RESTATEMENT. Parent #4 via #52, joined with #64."
585,Spatial Ground Must Have Explicit Precondition Failure,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Failure Semantics,"#160, #252, #529",HIGH,"Root parents #159 and #15: absent or invalid inputs produce explicit failure, never substitute truth."
586,Spatial Ground Must Have Explicit Postcondition Guarantees,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Exact Membership and Boundary Resolution,"#582, #15, #46",MEDIUM,Postcondition form of #15 and #46 for a successful evaluation; contract style belongs to Specification.
587,Spatial Ground Must Preserve Functional Purity Where Practical,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,No Hidden State / Self-Containment,"#27, #591, #588",HIGH,"RESTATEMENT. Parent #27. ""Where practical"" is weaker than its parent."
588,Side Effects Must Not Determine Canonical Meaning,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,No Hidden State / Self-Containment,"#27, #587, #590",HIGH,Root parent #27: side effects are ambient state.
589,Evaluation Order Must Not Alter Membership,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Finite Expressibility and Determinism,"#367, #366, #26",HIGH,INSTANCE. Parents #26 and #27 via #367: evaluation order across locations.
590,Query History Must Not Alter Membership,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,No Hidden State / Self-Containment,"#32, #27, #591",HIGH,INSTANCE. Parents #4 (via #32) and #27: prior queries and caching.
591,Spatial Ground Must Be Stateless in Canonical Meaning,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,No Hidden State / Self-Containment,"#27, #587, #592",HIGH,RESTATEMENT. Parent #27.
592,Operational State Must Be Disposable,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#534, #44, #595",HIGH,RESTATEMENT. Parent #19 via #534.
593,Spatial Ground Must Resist State Corruption,IMPLEMENTATION / OPERATIONAL CANDIDATE,MOVE TO IMPLEMENTATION / OPERATIONS,Operational Non-Authority,"#541, #594, #597",MEDIUM,Operational resilience: corrupt derived state is detectable and recoverable. The principle is #541.
594,Rebuild Must Be Preferred Over Trusting Corrupt Derived State,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#541, #593, #534",HIGH,RESTATEMENT. Parent #541.
595,Spatial Ground Must Support Deterministic Fresh Reconstruction,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Reconstruction and Recoverability,"#362, #369, #27",HIGH,RESTATEMENT. Parents #26 and #27 via #362 and #369.
596,Long Runtime Must Not Accumulate Canonical Drift,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#4, #27, #597",HIGH,Root parents #4 and #27: operation over years changes nothing.
597,Spatial Ground Must Be Drift-Auditable,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#532, #593, #598",HIGH,RESTATEMENT. Parent #19 via #532.
598,Spatial Ground Must Support Periodic Revalidation,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Conformance and Validation,"#448, #64, #599",MEDIUM,Revalidation without change of meaning or re-adoption; extends #448.
599,"Revalidation Must Confirm, Not Recreate, Canon",DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#4, #448, #600",HIGH,Root parent #4: checking confirms canon and does not renew it.
600,Spatial Ground Exists Continuously Without Operational Renewal,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#446, #4, #83",HIGH,"RESTATEMENT. Parent #4 via #446. CONSOLIDATION SURVIVOR: no recurring act of any kind keeps World-space in existence; compact form of #41, #83, #446 and #599."
601,Spatial Ground Must Distinguish Persistence From Existence,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#600, #446, #83",HIGH,RESTATEMENT. Parent #4 via #446 and #600: records evidence World-space; no active mechanism sustains it.
602,"Storage Durability Must Support, Not Constitute, Ground Truth",DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Technology and Infrastructure Independence,"#81, #19, #43",HIGH,"RESTATEMENT. Parent #81, with #19: storage serves preservation and carries no spatial meaning."
603,Spatial Ground Must Survive Storage Replacement,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Technology and Infrastructure Independence,"#43, #81, #84",HIGH,"INSTANCE. Parent #81 via #43, which already lists storage systems."
604,Spatial Ground Must Survive Repository Loss,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Preservation and Archival Survival,"#84, #206, #83",HIGH,"Root parent #84 via #206: one repository lost, canon survives in the others."
605,Spatial Ground Must Permit Geographic Preservation Diversity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Preservation and Archival Survival,"#452, #206, #125",HIGH,"RESTATEMENT. Root parent #8 via #206 and #452: many places and custodians, one truth."
606,Preservation Location Must Not Affect Authority,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Single Canonical Truth,"#209, #125, #131",HIGH,RESTATEMENT. Parents #8 and #29 via #125 and #209: where a copy sits changes nothing.
607,Spatial Ground Must Support Media Migration,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,"#210, #211, #608",HIGH,RESTATEMENT. Parent #29 via #210: migration across media.
608,Media Obsolescence Must Not Threaten Place,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Technology and Infrastructure Independence,"#212, #81, #607",HIGH,INSTANCE. Parent #81 via #212: storage media.
609,Spatial Ground Must Preserve Durable Decode Semantics,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Preservation and Archival Survival,"#126, #127, #611",HIGH,RESTATEMENT. Parent #126 via #127: decode rules survive without obsolete software.
610,Encodings Must Be Fully Specified Where Canonical,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Representation Independence,"#126, #27, #612",HIGH,FRAMEWORK MIRROR: carries #126 and #27 into Specification; any canonical encoding is specified fully enough to decode independently.
611,Proprietary Decoders Must Not Be Required,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Preservation and Archival Survival,"#10, #127, #609",HIGH,"RESTATEMENT. Parent #10, which already excludes proprietary systems."
612,Spatial Ground Must Avoid Format Ambiguity,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Finite Expressibility and Determinism,"#61, #610, #214",HIGH,FRAMEWORK MIRROR: carries #61 into Specification; a format open to two readings is unfit for canon.
613,Spatial Ground Must Preserve Character-Encoding Determinism,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Finite Expressibility and Determinism,"#363, #364, #612",HIGH,Encoding rule for text; an application of #363 that belongs with the chosen encoding.
614,Spatial Ground Must Preserve Numeric-Encoding Determinism,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Finite Expressibility and Determinism,"#363, #11, #612",HIGH,Encoding rule for numbers. AUTHORITY: numeric precision follows FSF's precision model (#11).
615,Spatial Ground Must Preserve Endianness Independence,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Finite Expressibility and Determinism,"#360, #363, #612",HIGH,Encoding rule for binary forms; an application of #360.
616,Spatial Ground Must Preserve Schema Independence of Meaning,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,"#213, #212, #29",HIGH,INSTANCE. Parent #29 via #213: schema technology (already named in #212).
617,Schema Evolution Must Preserve Spatial Semantics,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,"#71, #29, #616",HIGH,INSTANCE. Parent #29 via #71: schema evolution.
618,Schema Validation Is Necessary but Not Sufficient,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Conformance and Validation,"#619, #64, #620",HIGH,"RESTATEMENT. Parent #619, of which it is the immediate consequence."
619,Spatial Ground Must Distinguish Structural Validity From Semantic Validity,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Conformance and Validation,"#618, #620, #66",HIGH,Well-formed is not valid: structural and semantic validity are assessed separately. Local parent of #618.
620,Spatial Ground Must Define Semantic Validation,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Conformance and Validation,"#64, #66, #619",HIGH,FRAMEWORK MIRROR: carries #64 and #66 into Specification; the semantic conditions for validity are stated there.
621,Semantic Validation Must Be Deterministic,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Conformance and Validation,"#64, #224, #631",HIGH,RESTATEMENT. Parent #26 via #64 and #224.
622,Spatial Ground Must Define Validation Order Where Necessary,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Finite Expressibility and Determinism,"#367, #215, #363",MEDIUM,"INSTANCE. Parent #215 via #367: order is defined where it matters, irrelevant otherwise; here for validation steps."
623,Validation Must Fail Closed,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Failure Semantics,"#61, #254, #529",HIGH,RESTATEMENT. Parent #15 via #61: what cannot be shown valid is not accepted.
624,Validation Failure Must Preserve Diagnosis,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Failure Semantics,"#252, #306, #625",HIGH,"RESTATEMENT. Parent #252, with the layered classes of #306."
625,Spatial Ground Must Support Deterministic Diagnostics,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Failure Semantics,"#253, #624, #195",HIGH,RESTATEMENT. Parent #253.
626,Diagnostics Must Not Become Canonical Semantics Unless Specified,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Failure Semantics,"#253, #625, #214",MEDIUM,Only the failure class is canonical; human-readable wording is free unless governed. A useful limit on #253.
627,Spatial Ground Must Support Minimal Validation,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,"#584, #52, #178",HIGH,RESTATEMENT. Parent #4 via #52 and #584.
628,Spatial Ground Must Support Full Validation,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Conformance and Validation,"#191, #86, #633",HIGH,"RESTATEMENT. Parent #191, which already enumerates what must be proven."
629,Validation Must Be Repeatable,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Conformance and Validation,"#224, #368, #631",HIGH,RESTATEMENT. Parent #26 via #224.
630,Validation Must Be Non-Mutating,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Conformance and Validation,"#448, #599, #629",HIGH,RESTATEMENT. Parent #448.
631,Validation Must Be Independently Reproducible,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Independent Implementation,"#224, #223, #26",HIGH,RESTATEMENT. Parent #26 via #223 and #224.
632,Validator Disagreement Must Be Investigated as Architecture Risk,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Independent Implementation,"#524, #60, #646",HIGH,RESTATEMENT. Parent #524. METHODOLOGICAL diagnostic rule.
633,Spatial Ground Must Have Canonical Test Families,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Testing and Adversarial Review,"#191, #192, #85",HIGH,Defines the families of conformance tests. Local parent of #634-#643.
634,Test Coverage Must Include Interior Cases,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Testing and Adversarial Review,"#192, #633, #635",HIGH,INSTANCE. Parent #26 via #192: interior cases.
635,Test Coverage Must Include Exterior Cases,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Testing and Adversarial Review,"#192, #633, #14",HIGH,INSTANCE. Parent #26 via #192: exterior cases.
636,Test Coverage Must Include Exact Limit Cases,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Testing and Adversarial Review,"#193, #16, #633",HIGH,RESTATEMENT. Parent #193.
637,Test Coverage Must Include Deep Refinement,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Testing and Adversarial Review,"#256, #11, #244",HIGH,FRAMEWORK MIRROR: carries #11 and #256 into testing. AUTHORITY: the depth of refinement is set by FSF's model.
638,Test Coverage Must Include Degenerate Inputs,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Testing and Adversarial Review,"#258, #195, #257",HIGH,FRAMEWORK MIRROR: carries #258 into testing; degenerate expressions.
639,Test Coverage Must Include Canonical Equivalence,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Testing and Adversarial Review,"#194, #65, #633",HIGH,RESTATEMENT. Parent #194.
640,Test Coverage Must Include Non-Equivalence,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Testing and Adversarial Review,"#559, #561, #560",HIGH,FRAMEWORK MIRROR: carries #559 and #561 into testing; look-alikes must not resolve as equal.
641,Test Coverage Must Include Transformation Traps,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Testing and Adversarial Review,"#563, #565, #640",HIGH,FRAMEWORK MIRROR: carries #563-#568 into testing; transformed copies are not the same place.
642,Test Coverage Must Include Representation Traps,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Testing and Adversarial Review,"#216, #516, #194",HIGH,FRAMEWORK MIRROR: carries #216 into testing; non-semantic differences stay non-semantic.
643,Test Coverage Must Include Hidden-State Traps,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Testing and Adversarial Review,"#27, #590, #364",HIGH,"FRAMEWORK MIRROR: carries #27 into testing; cache, history, locale, clock and network have no effect."
644,Test Coverage Must Include Cross-Platform Reproduction,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Testing and Adversarial Review,"#360, #192, #645",HIGH,"FRAMEWORK MIRROR: carries #360 into testing. AUTHORITY GAP: ""before institutional establishment"" presumes an establishing body not yet identified."
645,Test Coverage Must Include Independent Implementation,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Independent Implementation,"#514, #196, #646",HIGH,Sets a maturity threshold: one independent implementation reproducing results. AUTHORITY GAP: who judges the Specification mature is not identified.
646,Independent Implementation Is a Specification Test,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Independent Implementation,"#524, #632, #645",HIGH,RESTATEMENT. Parent #524. METHODOLOGICAL.
647,Spatial Ground Must Be Falsifiable,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Conformance and Validation,"#66, #64, #26",HIGH,"Root parents #15, #26 and #66. CONSOLIDATION SURVIVOR: ""falsifiable"" says in one word that wrongness is defined, never a matter of interpretation."
648,Spatial Ground Must Be Verifiable Without Deference,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,No Hidden State / Self-Containment,"#223, #68, #501",HIGH,"RESTATEMENT. Parents #27 (via #68) and #26 (via #223): claims are checked from evidence, not taken on institutional standing."
649,Spatial Ground Must Permit Adversarial Review,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Testing and Adversarial Review,"#85, #521, #650",HIGH,RESTATEMENT. Parent #85.
650,Spatial Ground Must Become Stronger Under Challenge,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,"#550, #85, #649",HIGH,RESTATEMENT. Parent #550. METHODOLOGICAL.
651,Spatial Ground Must Distinguish Preservation From Security,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#82, #19, #652",HIGH,Root parent #19 via #82: security protects records and is no part of their meaning.
652,Compromise Must Not Redefine The World,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#19, #451, #659",HIGH,"Root parent #19, with #451: control of a system gives no power over World-space."
653,Unauthorized Mutation Must Be Detectable,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Preservation and Archival Survival,"#657, #130, #654",HIGH,"INSTANCE. Parent #657: the malicious case. AUTHORITY GAP: ""unauthorized"" presumes an authorizing actor not yet identified."
654,Detection Must Not Depend on the Compromised System,IMPLEMENTATION / OPERATIONAL CANDIDATE,MOVE TO IMPLEMENTATION / OPERATIONS,Preservation and Archival Survival,"#653, #663, #657",MEDIUM,"Operational safeguard (""where practical""): tamper evidence held outside the system under test."
655,Spatial Ground Must Support Authentic Canonical Recovery,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Reconstruction and Recoverability,"#84, #44, #656",HIGH,"RESTATEMENT. Parent #84. AUTHORITY GAP: ""identify ... the authoritative Ground"" presumes a recognized source of canonical status."
656,"Recovery Must Restore Meaning, Not Merely Files",DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Reconstruction and Recoverability,"#129, #128, #84",HIGH,"RESTATEMENT. Parent #129 joined with #84. CONSOLIDATION SURVIVOR: recovery means meaning, specification and World-space definition, not similarly named files."
657,Spatial Ground Must Support Corruption Detection,PRESERVATION / RECONSTRUCTION CANDIDATE,MOVE TO PRESERVATION / RECONSTRUCTION,Preservation and Archival Survival,"#653, #130, #658",HIGH,Artifacts verifiable against corruption from any cause. Local parent of #653.
658,Corruption Must Not Be Silently Normalized,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Failure Semantics,"#160, #62, #529",HIGH,"Root parent #15 via #62, same pattern as #160: no heuristic repair unless provable from surviving authority."
659,Recovery Procedures Must Not Become Spatial Authority,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#19, #135, #652",HIGH,"Root parents #19 and #135. FRAMEWORK MIRROR: carries ""correction is not redesign"" into disaster recovery."
660,Backup Recency Must Not Determine Spatial Truth,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Single Canonical Truth,"#19, #8, #661",HIGH,"Root parents #8 and #19: recency confers nothing. AUTHORITY GAP: ""canonical institutional status"" presumes a body that confers it."
661,Spatial Ground Must Survive Conflicting Copies,PRESERVATION / RECONSTRUCTION CANDIDATE,MOVE TO PRESERVATION / RECONSTRUCTION,Preservation and Archival Survival,"#60, #662, #675",HIGH,"Resolving conflicting copies by authority, integrity, provenance and validation. AUTHORITY GAP: ""governed authority"" is invoked without being identified."
662,Majority Replication Does Not Make Error Canonical,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Single Canonical Truth,"#500, #499, #507",HIGH,RESTATEMENT. Parent #8 via #499 and #500.
663,Spatial Ground Must Resist Byzantine Preservation Failure,PRESERVATION / RECONSTRUCTION CANDIDATE,MOVE TO PRESERVATION / RECONSTRUCTION,Preservation and Archival Survival,"#661, #654, #206",MEDIUM,Preservation design aim: canon determinable despite some dishonest or missing custodians.
664,Consensus Mechanisms Are Optional Preservation Tools,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Technology and Infrastructure Independence,"#81, #82, #665",HIGH,INSTANCE. Parent #81: consensus mechanisms.
665,Chain State Must Not Become Ground State,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#82, #81, #664",HIGH,"INSTANCE. Parent #19 via #82, which already lists ledgers."
666,Cryptographic Algorithm Replacement Must Not Move The World,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Technology and Infrastructure Independence,"#43, #81, #667",HIGH,"INSTANCE. Parent #81 via #43, which already lists cryptographic systems."
667,Cryptographic Identity Must Be Replaceable,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,"#556, #220, #666",HIGH,"Root parent #29 via #220 and #556: new integrity proofs, same World-space."
668,Expired Trust Infrastructure Must Not Expire Place,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#4, #82, #669",HIGH,Root parents #4 and #19 via #82: expiry of credentials is not expiry of place.
669,Spatial Ground Must Separate Spatial Permanence From Credential Lifetimes,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#668, #4, #600",HIGH,RESTATEMENT. Parent #668.
670,Spatial Ground Must Support Re-Attestation Without Re-Adoption,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#599, #598, #667",HIGH,RESTATEMENT. Parent #4 via #599.
671,Verification Renewal Must Preserve Artifact Lineage,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Historical Traceability,"#672, #667, #219",HIGH,Renewed evidence stays attached to the same lineage.
672,Spatial Ground Must Preserve Canonical Lineage,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Historical Traceability,"#134, #391, #671",HIGH,Traceable institutional history of the authoritative definition. Parent of the lineage family #671-#681.
673,Lineage Must Distinguish Meaning-Preserving Change,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Historical Traceability,"#395, #398, #672",HIGH,"RESTATEMENT. Parent #395. FOUNDATIONAL AUTHORITY GAP: ""which, if any, affected normative meaning"" again allows for a change no one is named to make."
674,Lineage Must Not Imply Spatial Motion,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Historical Traceability,"#189, #188, #672",HIGH,"Root parent #29 via #189, with #188: a sequence of records is not a sequence of locations."
675,Spatial Ground Must Support Provenance Fork Detection,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Historical Traceability,"#60, #676, #661",HIGH,"Incompatible descendants are exposed as a fork, never silently merged."
676,Forks Must Not Create Multiple Canonical Worlds,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,One World / Singular World-Space,"#21, #8, #675",HIGH,Root parents #21 and #8. AUTHORITY: The Declaration for One World.
677,Spatial Ground Must Preserve a Single Canonical Successor Rule,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Institutional Authority and Adoption,"#672, #678, #219",HIGH,"One successor carries canonical authority. AUTHORITY GAP: ""formally superseded"" presumes a superseding actor and process."
678,Supersession Must Not Imply Spatial Replacement,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,"#189, #29, #679",HIGH,RESTATEMENT. Parent #29 via #189.
679,Spatial Ground Must Distinguish Document Obsolescence From Spatial Obsolescence,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,"#678, #189, #608",HIGH,RESTATEMENT. Parent #29 via #189 and #678.
680,Spatial Ground Must Support Long-Term Evidentiary Chains,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Historical Traceability,"#672, #130, #148",HIGH,"RESTATEMENT. Parent #672, with #130."
681,Evidentiary Chains Must Remain Secondary to Spatial Semantics,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Historical Traceability,"#130, #409, #68",HIGH,RESTATEMENT. Parent #130: provenance supports trust; meaning comes from the definition.
682,Spatial Ground Must Support Formal Change Control,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Change Control and Permanence,"#395, #398, #683",HIGH,Explicit governed process for normative change. Local parent of #683-#688. AUTHORITY GAP: the process and its owner are not identified.
683,Change Classes Must Be Distinguished,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#395, #682, #136",HIGH,"RESTATEMENT. Parent #395. FOUNDATIONAL AUTHORITY GAP: lists ""foundational spatial change"" as a class of change without saying who may make one."
684,Higher-Risk Changes Require Higher Scrutiny,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#424, #142, #682",HIGH,"RESTATEMENT. Parent #142 via #424. FOUNDATIONAL AUTHORITY GAP: scrutiny rises toward meaning-altering change, reviewer unnamed."
685,Spatial Ground Must Prevent Accidental Normative Change,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#398, #396, #686",HIGH,Root parents #396 and #398: maintenance cannot silently shift semantics.
686,Spatial Ground Must Support Normative Diffing,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Change Control and Permanence,"#398, #687, #688",HIGH,Reviewers can determine exactly whether a revision changes normative meaning.
687,Semantic Difference Matters More Than Textual Difference,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#686, #190, #396",HIGH,"Parent #686: review compares semantics, not text. METHODOLOGICAL."
688,Spatial Ground Must Preserve Reviewability,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#686, #68, #687",MEDIUM,RESTATEMENT. Parent #686.
689,Spatial Ground Must Reject Unreviewable Complexity,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Inquiry Method and Framework Sequencing,"#68, #26, #690",MEDIUM,"METHODOLOGICAL: selection criterion rooted in #68 and #26. AUTHORITY GAP: a ""presumption against adoption"" presumes an adopter."
690,Formal Sophistication Must Earn Its Complexity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#232, #58, #691",HIGH,INSTANCE. Parent #58 via #232: complexity admitted only when necessary. METHODOLOGICAL.
