finding_id,target_id,relation,half,note
#332,Governance Register,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#333,UP-01,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#333,UP-02,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#333,UP-03,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#334,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Layer Boundaries.
#334,Shared Architecture,MERGED-INTO,,Pass #4 cluster target: Layer Boundaries.
#335,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Layer Boundaries.
#335,Shared Architecture,MERGED-INTO,,Pass #4 cluster target: Layer Boundaries.
#336,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Layer Boundaries.
#336,Shared Architecture,MERGED-INTO,,Pass #4 cluster target: Layer Boundaries.
#337,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Layer Boundaries.
#337,Shared Architecture,MERGED-INTO,,Pass #4 cluster target: Layer Boundaries.
#338,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Layer Boundaries.
#338,Shared Architecture,MERGED-INTO,,Pass #4 cluster target: Layer Boundaries.
#339,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Layer Boundaries.
#339,Shared Architecture,MERGED-INTO,,Pass #4 cluster target: Layer Boundaries.
#340,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Layer Boundaries.
#340,Shared Architecture,MERGED-INTO,,Pass #4 cluster target: Layer Boundaries.
#341,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Rights / Governance Independence.
#342,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#342,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#343,DOWN-01,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#343,DOWN-02,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#343,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#343,DOWN-04,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#344,CORE-07,MERGED-INTO,,Pass #4 cluster target: Representation Independence.
#345,DEF-06,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#345,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#346,BOUND-01,SOURCE-OF,,Pass #4 cluster target: Layer Boundaries.
#346,Shared Architecture,SOURCE-OF,,Pass #4 cluster target: Layer Boundaries.
#347,CORE-07,MERGED-INTO,,Pass #4 cluster target: Representation Independence.
#348,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#348,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#349,IF-01,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#349,Governance Register,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#350,IF-01,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#350,Governance Register,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#351,IF-01,SOURCE-OF,,Pass #4 cluster target: Institutional Authority and Adoption.
#351,Governance Register,SOURCE-OF,,Pass #4 cluster target: Institutional Authority and Adoption.
#352,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#352,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#353,CORE-04,MERGED-INTO,,Pass #4 cluster target: Single Canonical Truth.
#353,DEF-01,MERGED-INTO,,Pass #4 cluster target: Single Canonical Truth.
#354,IF-01,SOURCE-OF,,Pass #4 cluster target: Institutional Authority and Adoption.
#354,Governance Register,SOURCE-OF,,Pass #4 cluster target: Institutional Authority and Adoption.
#355,IF-01,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#355,Governance Register,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#356,CORE-05b,MERGED-INTO,,Pass #4 cluster target: No Hidden State / Self-Containment.
#356,DEF-02,MERGED-INTO,,Pass #4 cluster target: No Hidden State / Self-Containment.
#357,CORE-05b,MERGED-INTO,,Pass #4 cluster target: No Hidden State / Self-Containment.
#357,DEF-02,MERGED-INTO,,Pass #4 cluster target: No Hidden State / Self-Containment.
#358,CORE-03,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#358,LIM-01,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#359,CORE-03,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#359,LIM-01,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#360,CORE-03c,MERGED-INTO,,Pass #4 cluster target: Independent Implementation.
#360,CORE-05,MERGED-INTO,,Pass #4 cluster target: Independent Implementation.
#361,CORE-03c,MERGED-INTO,,Pass #4 cluster target: Independent Implementation.
#361,CORE-05,MERGED-INTO,,Pass #4 cluster target: Independent Implementation.
#362,CORE-03c,MERGED-INTO,,Pass #4 cluster target: Independent Implementation.
#362,CORE-05,MERGED-INTO,,Pass #4 cluster target: Independent Implementation.
#363,DEF-03,MERGED-INTO,,Pass #4 cluster target: Finite Expressibility and Determinism.
#364,DEF-03,MERGED-INTO,,Pass #4 cluster target: Finite Expressibility and Determinism.
#365,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Runtime Independence.
#365,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Runtime Independence.
#366,CORE-03c,SOURCE-OF,,Pass #4 cluster target: Independent Implementation.
#366,CORE-05,SOURCE-OF,,Pass #4 cluster target: Independent Implementation.
#367,DEF-03,MERGED-INTO,,Pass #4 cluster target: Finite Expressibility and Determinism.
#368,DEF-05,SOURCE-OF,,Pass #4 cluster target: Canonical Equivalence.
#368,CORE-07,SOURCE-OF,,Pass #4 cluster target: Canonical Equivalence.
#369,DEF-02,MERGED-INTO,,Pass #4 cluster target: Reconstruction and Recoverability.
#369,Preservation Register,MERGED-INTO,,Pass #4 cluster target: Reconstruction and Recoverability.
#370,DEF-03,MERGED-INTO,,Pass #4 cluster target: Finite Expressibility and Determinism.
#371,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#371,CORE-07,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#372,CORE-03,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#372,LIM-01,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#373,CORE-03,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#373,LIM-01,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#374,CORE-05b,MERGED-INTO,,Pass #4 cluster target: No Hidden State / Self-Containment.
#374,DEF-02,MERGED-INTO,,Pass #4 cluster target: No Hidden State / Self-Containment.
#375,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#375,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#376,DEF-03,MERGED-INTO,,Pass #4 cluster target: Finite Expressibility and Determinism.
#377,IF-01,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#377,Governance Register,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#378,BOUND-01,SOURCE-OF,,Pass #4 cluster target: Minimality and Semantic Restraint.
#379,CORE-05b,MERGED-INTO,,Pass #4 cluster target: No Hidden State / Self-Containment.
#379,DEF-02,MERGED-INTO,,Pass #4 cluster target: No Hidden State / Self-Containment.
#380,CORE-05b,MERGED-INTO,,Pass #4 cluster target: No Hidden State / Self-Containment.
#380,DEF-02,MERGED-INTO,,Pass #4 cluster target: No Hidden State / Self-Containment.
#381,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#382,CORE-07,SOURCE-OF,,Pass #4 cluster target: Representation Independence.
#383,CORE-03b,MERGED-INTO,,Pass #4 cluster target: Failure Semantics.
#383,Conformance Register,MERGED-INTO,,Pass #4 cluster target: Failure Semantics.
#384,CORE-03b,SOURCE-OF,,Pass #4 cluster target: Failure Semantics.
#384,Conformance Register,SOURCE-OF,,Pass #4 cluster target: Failure Semantics.
#385,DEF-03,SOURCE-OF,,Pass #4 cluster target: Finite Expressibility and Determinism.
#386,DEF-03,SOURCE-OF,,Pass #4 cluster target: Finite Expressibility and Determinism.
#387,DEF-03,SOURCE-OF,,Pass #4 cluster target: Finite Expressibility and Determinism.
#388,IF-01,SOURCE-OF,,Pass #4 cluster target: Institutional Authority and Adoption.
#388,Governance Register,SOURCE-OF,,Pass #4 cluster target: Institutional Authority and Adoption.
#389,IF-01,SOURCE-OF,,Pass #4 cluster target: Institutional Authority and Adoption.
#389,Governance Register,SOURCE-OF,,Pass #4 cluster target: Institutional Authority and Adoption.
#390,Preservation Register,SOURCE-OF,,Pass #4 cluster target: Preservation and Archival Survival.
#391,Governance Register,SOURCE-OF,,Pass #4 cluster target: Historical Traceability.
#391,Preservation Register,SOURCE-OF,,Pass #4 cluster target: Historical Traceability.
#392,CORE-06,SOURCE-OF,,Pass #4 cluster target: Change Control and Permanence.
#392,Governance Register,SOURCE-OF,,Pass #4 cluster target: Change Control and Permanence.
#393,CORE-06,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#393,Governance Register,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#394,CORE-06,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#394,Governance Register,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#395,CORE-06,SOURCE-OF,,Pass #4 cluster target: Change Control and Permanence.
#395,Governance Register,SOURCE-OF,,Pass #4 cluster target: Change Control and Permanence.
#396,CORE-06,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#396,Governance Register,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#397,CORE-06,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#397,Governance Register,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#398,CORE-06,SOURCE-OF,,Pass #4 cluster target: Change Control and Permanence.
#398,Governance Register,SOURCE-OF,,Pass #4 cluster target: Change Control and Permanence.
#399,Terminology Register,SOURCE-OF,,Pass #4 cluster target: Terminology Discipline.
#400,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#400,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#401,Governance Method Annex,SOURCE-OF,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#401,Historical,SOURCE-OF,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#402,Governance Method Annex,SOURCE-OF,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#402,Historical,SOURCE-OF,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#403,Governance Method Annex,SOURCE-OF,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#403,Historical,SOURCE-OF,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#404,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#404,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#405,Governance Method Annex,SOURCE-OF,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#405,Historical,SOURCE-OF,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#406,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#406,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#407,Governance Method Annex,SOURCE-OF,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#407,Historical,SOURCE-OF,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#408,Governance Register,SOURCE-OF,,Pass #4 cluster target: Historical Traceability.
#408,Preservation Register,SOURCE-OF,,Pass #4 cluster target: Historical Traceability.
#409,Governance Register,MERGED-INTO,,Pass #4 cluster target: Historical Traceability.
#409,Preservation Register,MERGED-INTO,,Pass #4 cluster target: Historical Traceability.
#410,Preservation Register,MERGED-INTO,,Pass #4 cluster target: Preservation and Archival Survival.
#411,CORE-01,SOURCE-OF,,Pass #4 cluster target: Core World-Space Membership.
#412,CORE-01,MERGED-INTO,,Pass #4 cluster target: Core World-Space Membership.
#413,CORE-01,MERGED-INTO,,Pass #4 cluster target: Core World-Space Membership.
#414,Governance Method Annex,SOURCE-OF,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#414,Historical,SOURCE-OF,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#415,Governance Method Annex,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#415,Historical,MERGED-INTO,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#416,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#417,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#418,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#419,CORE-06,SOURCE-OF,,Pass #4 cluster target: Change Control and Permanence.
#419,Governance Register,SOURCE-OF,,Pass #4 cluster target: Change Control and Permanence.
#420,CORE-06,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#420,Governance Register,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#421,CORE-06,SOURCE-OF,,Pass #4 cluster target: Change Control and Permanence.
#421,Governance Register,SOURCE-OF,,Pass #4 cluster target: Change Control and Permanence.
#422,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#423,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#424,CORE-06,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#424,Governance Register,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#425,CORE-06,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#425,Governance Register,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#426,Governance Method Annex,SOURCE-OF,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#426,Historical,SOURCE-OF,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#427,UP-01,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#427,UP-02,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#427,UP-03,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#428,UP-01,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#428,UP-02,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#428,UP-03,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#429,Governance Method Annex,SOURCE-OF,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#429,Historical,SOURCE-OF,,Pass #4 cluster target: Inquiry Method and Framework Sequencing.
#430,CORE-06,SOURCE-OF,,Pass #4 cluster target: Change Control and Permanence.
#430,Governance Register,SOURCE-OF,,Pass #4 cluster target: Change Control and Permanence.
#431,CORE-06,SOURCE-OF,,Pass #4 cluster target: Change Control and Permanence.
#431,Governance Register,SOURCE-OF,,Pass #4 cluster target: Change Control and Permanence.
#432,CORE-06,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#432,Governance Register,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#433,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#433,CORE-07,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#434,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#434,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#435,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Rights / Governance Independence.
#436,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Higher-Layer Independence.
#437,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Higher-Layer Independence.
#438,IF-03,MERGED-INTO,,Item-level override.
#439,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#439,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#440,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Higher-Layer Independence.
#441,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Higher-Layer Independence.
#442,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Rights / Governance Independence.
#443,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Higher-Layer Independence.
#444,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Higher-Layer Independence.
#445,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Higher-Layer Independence.
#446,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Runtime Independence.
#446,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Runtime Independence.
#447,CORE-07,MERGED-INTO,,Pass #4 cluster target: Representation Independence.
#448,DEF-04,SOURCE-OF,,Pass #4 cluster target: Conformance and Validation.
#448,Conformance Register,SOURCE-OF,,Pass #4 cluster target: Conformance and Validation.
#449,CORE-04,MERGED-INTO,,Pass #4 cluster target: Single Canonical Truth.
#449,DEF-01,MERGED-INTO,,Pass #4 cluster target: Single Canonical Truth.
#450,IF-01,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#450,Governance Register,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#451,IF-01,SOURCE-OF,,Pass #4 cluster target: Institutional Authority and Adoption.
#451,Governance Register,SOURCE-OF,,Pass #4 cluster target: Institutional Authority and Adoption.
#452,IF-01,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#452,Governance Register,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#453,IF-01,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#453,Governance Register,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#454,CORE-07,MERGED-INTO,,Pass #4 cluster target: Representation Independence.
#455,CORE-07,MERGED-INTO,,Pass #4 cluster target: Representation Independence.
#456,Preservation Register,MERGED-INTO,,Pass #4 cluster target: Preservation and Archival Survival.
#457,Preservation Register,MERGED-INTO,,Pass #4 cluster target: Preservation and Archival Survival.
#458,Preservation Register,SOURCE-OF,,Pass #4 cluster target: Preservation and Archival Survival.
#459,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#460,CORE-05b,MERGED-INTO,,Pass #4 cluster target: No Hidden State / Self-Containment.
#460,DEF-02,MERGED-INTO,,Pass #4 cluster target: No Hidden State / Self-Containment.
#461,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Layer Boundaries.
#461,Shared Architecture,MERGED-INTO,,Pass #4 cluster target: Layer Boundaries.
#462,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#462,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#463,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#463,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#464,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Runtime Independence.
#464,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Runtime Independence.
#465,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Layer Boundaries.
#465,Shared Architecture,MERGED-INTO,,Pass #4 cluster target: Layer Boundaries.
#466,DEF-02,SOURCE-OF,,Pass #4 cluster target: Reconstruction and Recoverability.
#466,Preservation Register,SOURCE-OF,,Pass #4 cluster target: Reconstruction and Recoverability.
#467,DOWN-01,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#467,DOWN-02,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#467,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#467,DOWN-04,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#468,UP-01,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#468,UP-02,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#468,UP-03,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#469,Terminology Register,SOURCE-OF,,Pass #4 cluster target: Terminology Discipline.
#470,Terminology Register,SOURCE-OF,,Pass #4 cluster target: Terminology Discipline.
#471,Terminology Register,SOURCE-OF,,Pass #4 cluster target: Terminology Discipline.
#472,Terminology Register,SOURCE-OF,,Pass #4 cluster target: Terminology Discipline.
#473,Terminology Register,SOURCE-OF,,Pass #4 cluster target: Terminology Discipline.
#474,Terminology Register,SOURCE-OF,,Pass #4 cluster target: Terminology Discipline.
#475,CONST-01,SOURCE-OF,,Pass #4 cluster target: Constitutional Subordination.
#475,CONST-05,SOURCE-OF,,Pass #4 cluster target: Constitutional Subordination.
#476,Terminology Register,SOURCE-OF,,Pass #4 cluster target: Terminology Discipline.
#477,Terminology Register,MERGED-INTO,,Pass #4 cluster target: Terminology Discipline.
#478,Terminology Register,SOURCE-OF,,Pass #4 cluster target: Terminology Discipline.
#479,Terminology Register,SOURCE-OF,,Pass #4 cluster target: Terminology Discipline.
#480,Terminology Register,SOURCE-OF,,Pass #4 cluster target: Terminology Discipline.
#481,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#482,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#482,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#483,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#483,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#484,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#484,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#485,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#485,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#486,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#486,CORE-07,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#487,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#487,CORE-07,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#488,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#488,CORE-07,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#489,DEF-03,MERGED-INTO,,Pass #4 cluster target: Finite Expressibility and Determinism.
#490,CORE-05b,MERGED-INTO,,Pass #4 cluster target: No Hidden State / Self-Containment.
#490,DEF-02,MERGED-INTO,,Pass #4 cluster target: No Hidden State / Self-Containment.
#491,CORE-06,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#491,Governance Register,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#492,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#492,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#493,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Higher-Layer Independence.
#494,UP-01,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#494,UP-02,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#494,UP-03,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#495,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Runtime Independence.
#495,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Runtime Independence.
#496,CORE-03c,MERGED-INTO,,Pass #4 cluster target: Independent Implementation.
#496,CORE-05,MERGED-INTO,,Pass #4 cluster target: Independent Implementation.
#497,CORE-03c,MERGED-INTO,,Pass #4 cluster target: Independent Implementation.
#497,CORE-05,MERGED-INTO,,Pass #4 cluster target: Independent Implementation.
#498,CORE-03c,MERGED-INTO,,Pass #4 cluster target: Independent Implementation.
#498,CORE-05,MERGED-INTO,,Pass #4 cluster target: Independent Implementation.
#499,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#499,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#500,CORE-04,MERGED-INTO,,Pass #4 cluster target: Single Canonical Truth.
#500,DEF-01,MERGED-INTO,,Pass #4 cluster target: Single Canonical Truth.
#501,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#501,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#502,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#502,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#503,IF-01,WORDING-FOR,,Pass #4 cluster target: Institutional Authority and Adoption.
#503,Governance Register,WORDING-FOR,,Pass #4 cluster target: Institutional Authority and Adoption.
#504,IF-01,SOURCE-OF,,Pass #4 cluster target: Institutional Authority and Adoption.
#504,Governance Register,SOURCE-OF,,Pass #4 cluster target: Institutional Authority and Adoption.
#505,IF-01,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#505,Governance Register,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#506,IF-01,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#506,Governance Register,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#507,IF-01,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#507,Governance Register,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#508,IF-01,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#508,Governance Register,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#509,IF-01,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#509,Governance Register,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#510,IF-01,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#510,Governance Register,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#511,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#511,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#512,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#512,CORE-07,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#513,CORE-07,SOURCE-OF,,Pass #4 cluster target: Representation Independence.
#514,Conformance Register,MERGED-INTO,,Pass #4 cluster target: Testing and Adversarial Review.
#515,Conformance Register,SOURCE-OF,,Pass #4 cluster target: Testing and Adversarial Review.
#516,Conformance Register,SOURCE-OF,,Pass #4 cluster target: Testing and Adversarial Review.
#517,Conformance Register,SOURCE-OF,,Pass #4 cluster target: Testing and Adversarial Review.
#518,Conformance Register,SOURCE-OF,,Pass #4 cluster target: Testing and Adversarial Review.
#519,Conformance Register,SOURCE-OF,,Pass #4 cluster target: Testing and Adversarial Review.
#520,Conformance Register,SOURCE-OF,,Pass #4 cluster target: Testing and Adversarial Review.
#521,Conformance Register,SOURCE-OF,,Pass #4 cluster target: Testing and Adversarial Review.
#522,DEF-02,MERGED-INTO,,Pass #4 cluster target: Reconstruction and Recoverability.
#522,Preservation Register,MERGED-INTO,,Pass #4 cluster target: Reconstruction and Recoverability.
#523,CORE-03c,MERGED-INTO,,Pass #4 cluster target: Independent Implementation.
#523,CORE-05,MERGED-INTO,,Pass #4 cluster target: Independent Implementation.
