finding_id,finding_title,original_classification,original_disposition,original_cluster,original_confidence,final_disposition,primary_target,consolidation_parent,pass_resolution,is_survivor,is_mirror,notes
#643,Test Coverage Must Include Hidden-State Traps,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Testing and Adversarial Review,HIGH,Conformance,Conformance Register,,P4-D15,FALSE,TRUE,Primary target from Pass #4 cluster-level consolidation view.
#644,Test Coverage Must Include Cross-Platform Reproduction,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Testing and Adversarial Review,HIGH,Conformance,Conformance Register,,P4-D15,FALSE,TRUE,Primary target from Pass #4 cluster-level consolidation view.
#645,Test Coverage Must Include Independent Implementation,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Independent Implementation,HIGH,Conformance,CORE-03c,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#646,Independent Implementation Is a Specification Test,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Independent Implementation,HIGH,Merged,CORE-03c,#524,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#647,Spatial Ground Must Be Falsifiable,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Conformance and Validation,HIGH,Merged,DEF-04,#15,P4-D15,TRUE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#648,Spatial Ground Must Be Verifiable Without Deference,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,No Hidden State / Self-Containment,HIGH,Merged,CORE-05b,#27,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#649,Spatial Ground Must Permit Adversarial Review,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Testing and Adversarial Review,HIGH,Merged,Conformance Register,#85,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#650,Spatial Ground Must Become Stronger Under Challenge,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#550,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#651,Spatial Ground Must Distinguish Preservation From Security,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,HIGH,Merged,CORE-05c,#19,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#652,Compromise Must Not Redefine The World,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,HIGH,Merged,CORE-05c,#19,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#653,Unauthorized Mutation Must Be Detectable,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Preservation and Archival Survival,HIGH,Merged,Preservation Register,#657,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#654,Detection Must Not Depend on the Compromised System,IMPLEMENTATION / OPERATIONAL CANDIDATE,MOVE TO IMPLEMENTATION / OPERATIONS,Preservation and Archival Survival,MEDIUM,Implementation,Preservation Register,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#655,Spatial Ground Must Support Authentic Canonical Recovery,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Reconstruction and Recoverability,HIGH,Merged,DEF-02,#84,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#656,"Recovery Must Restore Meaning, Not Merely Files",DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Reconstruction and Recoverability,HIGH,Merged,DEF-02,#129,P4-D15,TRUE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#657,Spatial Ground Must Support Corruption Detection,PRESERVATION / RECONSTRUCTION CANDIDATE,MOVE TO PRESERVATION / RECONSTRUCTION,Preservation and Archival Survival,HIGH,Preservation,Preservation Register,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#658,Corruption Must Not Be Silently Normalized,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Failure Semantics,HIGH,Merged,CORE-03b,#15,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#659,Recovery Procedures Must Not Become Spatial Authority,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,HIGH,Merged,CORE-05c,#19,P4-D15,FALSE,TRUE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#660,Backup Recency Must Not Determine Spatial Truth,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Single Canonical Truth,HIGH,Merged,CORE-04,#8,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#661,Spatial Ground Must Survive Conflicting Copies,PRESERVATION / RECONSTRUCTION CANDIDATE,MOVE TO PRESERVATION / RECONSTRUCTION,Preservation and Archival Survival,HIGH,Preservation,Preservation Register,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#662,Majority Replication Does Not Make Error Canonical,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Single Canonical Truth,HIGH,Merged,CORE-04,#8,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#663,Spatial Ground Must Resist Byzantine Preservation Failure,PRESERVATION / RECONSTRUCTION CANDIDATE,MOVE TO PRESERVATION / RECONSTRUCTION,Preservation and Archival Survival,MEDIUM,Preservation,Preservation Register,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#664,Consensus Mechanisms Are Optional Preservation Tools,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Technology and Infrastructure Independence,HIGH,Merged,CORE-05b,#81,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#665,Chain State Must Not Become Ground State,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,HIGH,Merged,CORE-05c,#19,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#666,Cryptographic Algorithm Replacement Must Not Move The World,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Technology and Infrastructure Independence,HIGH,Merged,CORE-05b,#81,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#667,Cryptographic Identity Must Be Replaceable,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,HIGH,Merged,CORE-07,#29,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#668,Expired Trust Infrastructure Must Not Expire Place,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,HIGH,Merged,CORE-06,#4,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#669,Spatial Ground Must Separate Spatial Permanence From Credential Lifetimes,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,HIGH,Merged,CORE-06,#668,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#670,Spatial Ground Must Support Re-Attestation Without Re-Adoption,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,HIGH,Merged,CORE-06,#4,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#671,Verification Renewal Must Preserve Artifact Lineage,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Historical Traceability,HIGH,Governance,Governance Register,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#672,Spatial Ground Must Preserve Canonical Lineage,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Historical Traceability,HIGH,Governance,Governance Register,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#673,Lineage Must Distinguish Meaning-Preserving Change,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Historical Traceability,HIGH,Merged,Governance Register,#395,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#674,Lineage Must Not Imply Spatial Motion,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Historical Traceability,HIGH,Merged,Governance Register,#29,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#675,Spatial Ground Must Support Provenance Fork Detection,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Historical Traceability,HIGH,Governance,Governance Register,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#676,Forks Must Not Create Multiple Canonical Worlds,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,One World / Singular World-Space,HIGH,Merged,CONST-02,#21,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#677,Spatial Ground Must Preserve a Single Canonical Successor Rule,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Institutional Authority and Adoption,HIGH,Governance,IF-01,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#678,Supersession Must Not Imply Spatial Replacement,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,HIGH,Merged,CORE-07,#29,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#679,Spatial Ground Must Distinguish Document Obsolescence From Spatial Obsolescence,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,HIGH,Merged,CORE-07,#29,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#680,Spatial Ground Must Support Long-Term Evidentiary Chains,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Historical Traceability,HIGH,Merged,Governance Register,#672,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#681,Evidentiary Chains Must Remain Secondary to Spatial Semantics,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Historical Traceability,HIGH,Merged,Governance Register,#130,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#682,Spatial Ground Must Support Formal Change Control,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Change Control and Permanence,HIGH,Governance,CORE-06,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#683,Change Classes Must Be Distinguished,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,HIGH,Merged,CORE-06,#395,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#684,Higher-Risk Changes Require Higher Scrutiny,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,HIGH,Merged,CORE-06,#142,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#685,Spatial Ground Must Prevent Accidental Normative Change,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,HIGH,Merged,CORE-06,#396,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#686,Spatial Ground Must Support Normative Diffing,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Change Control and Permanence,HIGH,Governance,CORE-06,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#687,Semantic Difference Matters More Than Textual Difference,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,HIGH,Merged,CORE-06,#686,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#688,Spatial Ground Must Preserve Reviewability,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,MEDIUM,Merged,CORE-06,#686,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#689,Spatial Ground Must Reject Unreviewable Complexity,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Inquiry Method and Framework Sequencing,MEDIUM,Governance,Governance Method Annex,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#690,Formal Sophistication Must Earn Its Complexity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,HIGH,Merged,BOUND-01,#58,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#691,Simplicity Must Not Sacrifice Exactness,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,HIGH,Merged,BOUND-01,#15,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#692,Elegance Is Not Sufficient,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#693,Familiarity Is Not Sufficient,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#694,Novelty Is Not Sufficient,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#695,Spatial Ground Must Be Requirements-Driven,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Inquiry Method and Framework Sequencing,HIGH,Governance,Governance Method Annex,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#696,Competing Models Must Be Evaluated Against the Same Requirements,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#695,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#697,Requirements Must Precede Model Scoring,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#298,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#698,Failed Candidates Should Remain Historically Useful,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Historical Traceability,MEDIUM,Governance,Governance Register,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#699,Spatial Ground Must Preserve Decision Rationale Without Preserving Dead Architecture,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Historical Traceability,HIGH,Merged,Governance Register,#408,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#700,Spatial Ground Must Ultimately Be Chosen by Survival,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#550,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#701,Spatial Ground Must Distinguish World-Space Definition From World-Space Description,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,HIGH,Merged,CORE-05c,#19,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#702,Descriptive Maps Must Remain Non-Normative Unless Explicitly Adopted,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,HIGH,Merged,CORE-05c,#19,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#703,Spatial Ground Must Distinguish Normative Geometry From Illustrative Geometry,TERMINOLOGY / DOCUMENTATION CANDIDATE,MOVE TO TERMINOLOGY / DOCUMENTATION,Terminology Discipline,HIGH,Terminology,Terminology Register,,P4-D15,FALSE,TRUE,Primary target from Pass #4 cluster-level consolidation view.
#704,Visual Fidelity Must Not Be Mistaken for Canonical Fidelity,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,HIGH,Merged,CORE-05c,#19,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#705,Spatial Ground Must Preserve Machine-Readable Canon Where Exactness Requires It,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Finite Expressibility and Determinism,HIGH,Specification,DEF-03,,P4-D15,FALSE,TRUE,Primary target from Pass #4 cluster-level consolidation view.
#706,Machine-Readable Canon Must Remain Human-Governed,INSTITUTIONAL / GOVERNANCE CANDIDATE,MOVE TO GOVERNANCE / INSTITUTIONAL FRAMEWORK,Institutional Authority and Adoption,MEDIUM,Governance,IF-01,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#707,Human-Readable and Machine-Readable Canon Must Agree,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Single Canonical Truth,HIGH,Merged,CORE-04,#8,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#708,Neither Form May Silently Override the Other,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#407,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#709,Spatial Ground Must Avoid Hidden Semantics in Tooling,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,No Hidden State / Self-Containment,HIGH,Merged,CORE-05b,#27,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#710,"Executable Formalization Should Confirm, Not Invent, Architecture",DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Inquiry Method and Framework Sequencing,HIGH,Merged,Governance Method Annex,#402,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#711,Spatial Ground Must Support Exact Re-derivation From Normative Sources,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Reconstruction and Recoverability,HIGH,Merged,DEF-02,#10,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#712,Spatial Ground Must Not Require Reverse Engineering,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Reconstruction and Recoverability,HIGH,Merged,DEF-02,#10,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#713,Spatial Ground Must Expose All Canonically Relevant Constants,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,No Hidden State / Self-Containment,HIGH,Merged,CORE-05b,#27,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#714,Configurable Values Must Not Quietly Become Canonical,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,No Hidden State / Self-Containment,HIGH,Merged,CORE-05b,#27,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#715,Environment Variables Must Not Move The World,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,No Hidden State / Self-Containment,HIGH,Merged,CORE-05b,#27,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#716,Feature Flags Must Remain Above Canonical Truth,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,No Hidden State / Self-Containment,HIGH,Merged,CORE-05b,#27,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#717,Spatial Ground Must Distinguish Canonical Parameters From Implementation Parameters,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,No Hidden State / Self-Containment,HIGH,Specification,CORE-05b,,P4-D15,FALSE,TRUE,Primary target from Pass #4 cluster-level consolidation view.
#718,Canonical Parameters Must Be Immutable in Meaning,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,HIGH,Merged,CORE-06,#4,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#719,Spatial Ground Must Prevent Per-User Canon,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,HIGH,Merged,CORE-05a,#4,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#720,Spatial Ground Must Prevent Per-Session Canon,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,No Hidden State / Self-Containment,HIGH,Merged,CORE-05b,#27,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#721,Spatial Ground Must Prevent Regional Canon,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Single Canonical Truth,HIGH,Merged,CORE-04,#8,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#722,Spatial Ground Must Prevent Forked Runtime Canon,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Single Canonical Truth,HIGH,Merged,CORE-04,#8,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
